year,female,adult,urban,edu,v01_wt_median,v02_wt_median,v05_wt_median,v06_wt_median,v10_wt_median,v15_wt_median,v16_wt_median,v23_wt_median,v36_wt_median,v41_wt_median,v57_wt_median
2015,1,999,1,3,120.18164,160.61356,34.155392,5.4741287,47.099335,147.47939,49.249512,72.076523,762.30585,2970.2163,140.57201
2015,1,999,1,999,112.4502,161.52988,35.46027,5.746016,39.966061,158.60506,29.756374,65.994698,613.21075,2458.9253,84.613762
2015,1,999,999,1,83.109528,144.51585,34.76947,5.6572204,27.382013,163.54538,18.533354,58.699886,523.27655,2122.8059,52.047611
2015,1,999,999,2,120.02296,179.92871,33.621174,6.1965332,41.160717,145.90553,24.264734,63.933216,585.55835,2429.926,75.543091
2015,1,999,999,3,118.43725,161.68291,35.491806,6.3345814,44.83707,142.0775,44.126015,70.51123,731.79089,2898.908,125.86756
2015,1,999,999,999,100.05801,158.24377,34.517929,5.9292445,34.354473,154.75204,24.20853,62.132465,574.41284,2336.8042,70.605728
2015,999,0,0,1,63.248665,106.5366,25.258425,4.6964784,15.433797,217.55026,15.940233,53.874596,517.03613,2065.6716,53.054642
2015,999,0,0,2,92.564423,133.79147,28.243019,6.4752336,27.400944,224.66286,23.193525,58.958466,571.72845,2131.9136,77.190002
2015,999,0,0,3,104.93443,120.98949,34.190857,10.920998,33.897362,199.44978,43.786343,65.124313,704.81097,2479.6155,127.16895
2015,999,0,0,999,74.597084,115.04179,26.808403,5.6960635,20.188168,217.92894,20.223675,56.181019,547.46674,2118.2268,65.747055
2015,999,0,1,1,85.458221,112.34322,30.642029,5.560421,25.594219,233.97278,26.493605,61.715385,566.71375,2114.4402,74.360229
2015,999,0,1,2,118.04873,136.9982,29.676025,6.2742867,40.011631,226.16045,37.915611,65.909691,653.55969,2274.145,119.8214
2015,999,0,1,3,109.14359,110.80561,30.564947,6.6755071,42.14949,223.43961,69.618629,70.957634,819.31952,2645.4011,205.65784
2015,999,0,1,999,99.056664,119.4901,30.339842,5.9545307,32.590874,229.92931,36.88055,64.465263,633.53674,2248.0471,109.18929
2015,999,0,999,1,73.305031,109.1658,27.696091,5.087667,20.03438,224.98628,20.71874,57.424862,539.52985,2087.7537,62.701691
2015,999,0,999,2,106.01185,135.48358,28.99918,6.3691988,34.055286,225.45309,30.962002,62.62645,614.90875,2206.9656,99.685524
2015,999,0,999,3,107.6973,114.30487,31.810839,8.1342916,39.313992,215.19652,60.742455,68.953262,779.97351,2588.4358,178.68843
2015,999,0,999,999,86.802872,117.26158,28.570656,5.8250432,26.377352,223.91734,28.535772,60.315014,590.4173,2183.0095,87.425552
2015,999,1,0,1,74.149185,163.74348,34.105511,6.1142421,21.552629,135.83699,13.560417,56.456799,490.85489,1983.87,37.080048
2015,999,1,0,2,104.71049,198.02618,33.66589,6.7470999,35.302151,121.98654,16.105608,61.484596,512.47668,2284.9487,47.892189
2015,999,1,0,3,111.40652,180.87311,39.939674,7.3254843,42.771881,115.21651,26.697599,68.771942,619.82697,2771.2434,77.659157
2015,999,1,0,999,87.823463,176.34135,34.616859,6.4462829,28.200108,129.22459,15.81457,59.393986,511.93497,2165.3044,44.963158
2015,999,1,1,1,97.228737,166.97227,40.644814,5.935761,34.388863,150.81026,20.227804,64.512024,525.77014,2168.7424,50.001709
2015,999,1,1,2,127.39921,197.20471,34.457947,5.8780737,48.376816,130.57906,23.542068,67.977173,581.7547,2573.2458,72.357323
2015,999,1,1,3,115.89236,174.44835,37.04277,5.3277154,51.912018,137.50975,39.818371,73.73465,711.79474,3004.5669,118.43514
2015,999,1,1,999,111.40289,178.88535,37.784153,5.7918921,42.770027,141.14537,25.363258,67.58416,582.95734,2478.2463,71.644211
2015,999,1,999,1,85.64901,165.35229,37.363842,6.02531,27.948528,143.2977,16.88257,60.47047,508.25208,2075.9861,43.518513
2015,999,1,999,2,117.926,197.5477,34.127239,6.2409177,42.917763,126.99143,20.43713,65.266335,552.8291,2452.8733,62.142418
2015,999,1,999,3,114.54302,176.38091,37.914154,5.9286413,49.162674,130.80397,35.871658,72.241867,684.13092,2934.3833,106.16977
2015,999,1,999,999,100.99928,177.76289,36.386692,6.0806198,36.341549,135.88574,21.150227,63.970524,551.62115,2340.1714,59.872108
2015,999,999,0,1,69.803665,140.93782,30.578598,5.549047,19.113342,168.41219,14.509136,55.427399,501.29208,2016.4805,43.448357
2015,999,999,0,2,100.6312,176.45279,31.844603,6.6557927,32.648506,156.47066,18.486103,60.636185,532.37659,2233.5513,57.731937
2015,999,999,0,3,109.40832,162.38454,38.164776,8.4355688,40.031948,141.22282,31.973606,67.645767,646.06506,2681.2056,92.944893
2015,999,999,0,999,82.916382,153.5988,31.71987,6.1679463,25.227625,162.13448,17.450377,58.201954,525.11749,2147.8381,52.674118
2015,999,999,1,1,93.040535,147.53407,37.085609,5.802207,31.259539,180.40129,22.457314,63.516922,540.33881,2149.4204,58.669003
2015,999,999,1,2,124.70402,179.85072,33.079601,5.9922786,45.965626,158.12953,27.685112,67.381241,602.45184,2487.0327,86.038414
2015,999,999,1,3,114.08031,157.36029,35.303474,5.6895967,49.290779,160.58188,47.819729,72.989021,740.6651,2908.1311,141.8544
2015,999,999,1,999,107.49037,160.06299,35.425049,5.8434324,39.544254,169.28101,29.013088,66.595779,598.98596,2405.2961,83.542252
2015,999,999,999,1,80.982399,144.11111,33.708973,5.670836,24.956602,174.17987,18.332825,59.31908,520.07654,2080.4348,50.770664
2015,999,999,999,2,114.24541,178.37447,32.543049,6.2805471,40.179913,157.40881,23.68854,64.450806,572.00714,2376.906,73.740471
2015,999,999,999,3,112.61876,158.93204,36.198582,6.548624,46.394318,154.52574,42.862553,71.317474,711.07111,2837.1414,126.55393
2015,999,999,999,999,96.145836,157.07881,33.714561,5.9932437,32.935005,165.98183,23.675184,62.720783,564.8847,2286.4412,69.29203
