Code,Item,Group,Region_Number,REGION_NAME,State_Name,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Average_Annual_Percent_Growth
11,Population (Thousands),State,3,Great Lakes,Illinois,11569,11694,11810,11913,12008,12102,12186,12272,12359,12434,12488,12526,12556,12590,12610,12644,12696,12747,12797,12842,12860,12871,12880,12868,0.5
11,Population (Thousands),State,3,Great Lakes,Indiana,5616,5675,5739,5794,5851,5906,5955,5999,6045,6092,6128,6156,6197,6233,6279,6333,6380,6425,6459,6491,6516,6538,6569,6595,0.7
11,Population (Thousands),State,4,Plains,Iowa,2798,2818,2837,2851,2867,2880,2891,2903,2918,2929,2932,2934,2942,2954,2964,2983,2999,3017,3033,3051,3065,3076,3092,3108,0.5
11,Population (Thousands),State,4,Plains,Kansas,2499,2532,2557,2581,2601,2615,2635,2661,2678,2694,2702,2714,2723,2734,2745,2763,2784,2808,2833,2859,2870,2885,2893,2899,0.6
11,Population (Thousands),State,5,Southeast,Kentucky,3722,3765,3812,3849,3887,3920,3953,3985,4018,4049,4068,4090,4117,4146,4183,4219,4257,4290,4317,4349,4369,4385,4400,4413,0.7
11,Population (Thousands),State,5,Southeast,Louisiana,4253,4293,4316,4347,4379,4399,4421,4440,4461,4472,4478,4497,4521,4552,4577,4303,4376,4436,4492,4545,4575,4603,4626,4648,0.4
11,Population (Thousands),State,1,New England,Maine,1237,1239,1242,1243,1243,1249,1255,1259,1267,1277,1286,1296,1307,1314,1319,1324,1327,1331,1330,1328,1328,1329,1329,1331,0.3
11,Population (Thousands),State,2,Mideast,Maryland,4868,4923,4972,5023,5070,5112,5157,5204,5255,5311,5375,5440,5496,5547,5592,5627,5653,5685,5730,5789,5844,5890,5931,5967,0.9
11,Population (Thousands),State,1,New England,Massachusetts,6018,6029,6061,6095,6141,6180,6226,6272,6317,6361,6398,6417,6423,6412,6403,6410,6432,6469,6518,6566,6612,6658,6707,6750,0.5
11,Population (Thousands),State,3,Great Lakes,Michigan,9400,9479,9540,9598,9676,9759,9809,9848,9897,9952,9991,10016,10041,10055,10051,10036,10001,9947,9902,9877,9876,9887,9899,9916,0.2
11,Population (Thousands),State,4,Plains,Minnesota,4441,4496,4556,4610,4660,4713,4763,4813,4873,4934,4983,5019,5054,5088,5120,5164,5207,5247,5281,5311,5349,5380,5419,5453,0.9
