countryname,Fruit Consumption,non-starchy vegetable consumption,Beans and Legumes,Nuts and Seeds,Unprocessed red meat,sugar-sweetened beverages,Fruit Juices,Protein,Calcium (milligrams),Potassium (milligrams),Total Milk
Costa Rica,103.37105497083334,127.14298552499993,45.98830730833335,2.4253900793749996,51.59309663749996,376.0164195416668,46.97863640416665,64.39223931666668,643.7900594999999,1425.6686216666653,156.36215441666673
Croatia,65.09064584166669,83.60207420833333,15.043587909999992,5.454262103166671,78.0908762208333,100.44461718749999,33.55459572083335,86.28134145416662,741.8758907916666,3176.639157083332,153.6698369541667
Cuba,145.4601695791666,107.75972782083336,9.787972141249998,7.264120475833331,41.37617422500001,391.37334933333364,38.70796222916667,63.419714633333335,847.8210263333339,2475.829701250001,83.36251553333332
Cyprus,182.1479998500001,152.4204979083333,56.375713820833354,8.339445998333334,119.93006517500001,149.1325957958334,50.97809234583327,114.04496012083328,862.3800780833328,3655.8337629166654,176.7216058333334
Czechia,98.96364747083337,89.33915938749988,3.980488049166665,2.882404729416665,33.700849695833334,49.70190943416665,17.161598101249993,84.1630414875,685.9330749999997,3611.1202687500004,74.24198750416666
C̫te d'Ivoire,96.56543321666663,112.24486110000005,3.5070837754166644,5.784373385833334,38.91429832541668,227.03651585000006,39.17643991625001,48.41681881666666,518.8699558333333,3149.02220625,40.14550373749999
Democratic Republic of the Congo,143.93263581250002,208.87310650416669,159.05182169583333,22.47811607541667,49.41370661791667,138.62553069166663,50.86449590416669,39.78500160833333,403.4169513750003,2105.7387666666677,94.11232159583342
Denmark,143.64846894166675,98.21547182916667,12.918261654166662,2.989352241249999,52.44638022500002,91.75044662083333,33.8002753125,76.61568956666675,945.0373069166667,3239.999437500002,155.05087807083328
Djibouti,68.88757689166665,105.5370928291667,99.16431175000007,19.062363700833334,32.46472957666668,345.8998800125002,42.555480352083364,71.21211462916669,417.86282937499993,2843.7721475,97.96684884583331
Dominica,104.99343716250004,101.36242801666663,25.172932145833315,10.740260884166664,14.30427677374999,274.2052535833335,35.770440812500006,81.70734909583335,688.3300336666672,3586.083788750001,80.56970028333339
Dominican Republic,135.02331106666662,93.71365425833338,67.95261923333334,2.8216215937500007,68.46553894999998,263.349922125,128.46931491249995,65.58434877500001,699.4652245833338,1606.62409875,168.3858618541667
Ecuador,124.36006139999998,96.29701527500008,27.888580183333353,0.2697261211458333,64.24012163333335,143.9612748583334,93.81525808750007,45.38324648750001,522.666852375,1293.2963508333341,82.27325076666672
Egypt,109.06814847916672,156.70076338749985,52.41749466833328,4.995872997499999,26.48695305958334,163.3128518875,65.84284740416662,52.61454852499999,546.2845318333333,2462.5562012499995,73.47059761666667
El Salvador,166.79375179166664,132.02844324583324,28.87530941249999,6.280503057083333,39.683292325,358.28295833333334,35.53493223333334,64.7287790291667,692.7780015833334,2124.8437762499993,152.8302484833333
Equatorial Guinea,75.46644036666666,111.85215049999998,116.72347190416663,4.30770220125,5.372064650041667,166.65622997500003,34.67214503416667,72.0467787,469.1635439583334,2870.8061195833347,81.37525932916667
Eritrea,75.45790027499997,79.27481913749995,34.11013557916665,4.638061668749999,14.616336029583344,193.30810210000016,15.363975336249984,97.6525902541666,472.8431050416667,3054.0675133333325,68.87642288749998
Estonia,70.64743385,99.70357176249998,2.0819205712916666,2.294792270833332,85.68112337916668,44.5927643629167,22.747909110833344,76.8072097458333,696.942864791666,3170.1808387499996,202.7936452916665
Ethiopia,66.73531511666668,86.748829275,39.142277175,5.402768424583333,13.960874423333332,174.75547535833329,10.591213507500012,73.84613387083333,619.9930600000001,2406.5423049999986,79.58822942499997
Federated State of Micronesia,74.06586459166672,202.2241990833333,511.48191012499996,7.690719147499999,3.2001522970833323,154.5370555441665,11.974457285833335,49.291826408333314,425.31614849999977,1212.4173664166665,24.12597656375002
Fiji,107.16304969999997,206.14287099999987,14.432663616250007,4.8956360879166665,10.818636420416668,178.9152570745833,9.342071382916666,64.82982698749997,557.8930831249996,2424.092889583332,58.54611488333332
