year,superregion2,iso3,countryname,female,adult,urban,edu,v01_wt_median,v02_wt_median,v05_wt_median,v06_wt_median,v10_wt_median,v15_wt_median,v16_wt_median,v23_wt_median,v36_wt_median,v41_wt_median,v57_wt_median
1995,MENA,AFG,Afghanistan,1,999,999,3,184.87318,138.12718,10.390163,5.9000893,2.8534203,292.26062,268.39423,42.442757,388.38431,1280.6638,28.868204
1995,MENA,AFG,Afghanistan,1,999,999,999,129.54054,117.83365,8.8400431,4.0510402,2.0144711,279.21646,167.44969,40.81424,359.79617,1185.3107,18.673946
1995,MENA,AFG,Afghanistan,999,0,0,1,109.76384,89.857544,6.4754667,2.7582989,1.5126686,346.84012,139.75731,39.966194,340.84772,1127.3569,18.679785
1995,MENA,AFG,Afghanistan,999,0,0,2,137.42749,95.565689,7.2387362,3.6870739,1.8799539,411.49243,200.15514,41.360874,357.69955,1183.2585,25.56093
1995,MENA,AFG,Afghanistan,999,0,0,3,166.67908,107.93295,7.9865952,4.369998,2.2902906,369.11908,247.45038,41.845879,371.521,1234.9204,31.582298
1995,MENA,AFG,Afghanistan,999,0,0,999,117.22766,91.971893,6.6760302,2.9817538,1.613757,354.23987,154.55017,40.252716,345.03186,1141.7639,20.422554
1995,MENA,AFG,Afghanistan,999,0,1,1,127.45887,93.938568,6.9256802,3.2006335,1.8362904,298.52911,183.02444,40.002975,367.61859,1144.0974,22.020802
1995,MENA,AFG,Afghanistan,999,0,1,2,160.00305,100.28873,7.7555037,4.302228,2.2694793,352.20682,260.33667,41.407024,384.25906,1192.8638,30.009602
1995,MENA,AFG,Afghanistan,999,0,1,3,194.354,112.68391,8.4604244,5.1447244,2.7077219,320.89343,328.54077,41.850513,401.73013,1243.1851,36.951851
1995,MENA,AFG,Afghanistan,999,0,1,999,136.23395,96.167114,7.1339226,3.4686153,1.9513706,305.02353,202.65517,40.287361,372.09702,1157.1421,24.039715
1995,MENA,AFG,Afghanistan,999,0,999,1,113.59021,90.740013,6.5728211,2.8539491,1.5826485,336.39334,149.1134,39.974144,346.63666,1130.9768,19.402246
1995,MENA,AFG,Afghanistan,999,0,999,2,142.30922,96.58699,7.350482,3.8200946,1.9641848,398.67249,213.16876,41.37085,363.44278,1185.3356,26.522909
1995,MENA,AFG,Afghanistan,999,0,999,3,172.66351,108.9603,8.089056,4.5375252,2.3805559,358.69073,264.98535,41.846878,378.05341,1236.7075,32.743408
1995,MENA,AFG,Afghanistan,999,0,999,999,121.33758,92.879066,6.7750449,3.0870328,1.6867626,343.59732,164.95239,40.260208,350.8844,1145.0892,21.204729
1995,MENA,AFG,Afghanistan,999,1,0,1,124.25967,150.06516,11.493193,4.7614183,2.0470662,227.32883,143.06026,42.949364,364.07397,1180.0897,13.450979
1995,MENA,AFG,Afghanistan,999,1,0,2,156.68063,161.07944,12.718321,6.393425,2.5224395,269.33212,204.77762,44.445988,381.51636,1237.9561,18.399258
1995,MENA,AFG,Afghanistan,999,1,0,3,189.81653,180.54993,14.010208,7.5587006,3.0985613,244.61873,252.8251,44.970459,398.04749,1287.1274,22.821613
1995,MENA,AFG,Afghanistan,999,1,0,999,132.90311,153.74652,11.823418,5.1509151,2.181988,232.39171,158.15082,43.257198,368.60657,1194.6125,14.712594
1995,MENA,AFG,Afghanistan,999,1,1,1,144.84869,156.96091,12.060066,5.403614,2.5005255,195.43652,186.52896,42.794998,392.43555,1195.6798,15.986017
