year,superregion2,female,adult,urban,edu,v01_wt_median,v02_wt_median,v05_wt_median,v06_wt_median,v10_wt_median,v15_wt_median,v16_wt_median,v23_wt_median,v36_wt_median,v41_wt_median,v57_wt_median
2010,Asia,1,1,999,3,142.50977,270.18939,37.789253,5.7649617,47.836617,38.918545,7.0386567,60.446739,476.60153,2243.3215,40.612453
2010,Asia,1,1,999,999,123.40396,271.9389,30.622103,5.3641658,45.03323,33.740948,4.2401748,56.458305,417.24762,2117.1907,25.129736
2010,Asia,1,999,0,1,89.628563,212.67818,27.142776,3.7968941,30.606176,45.222897,4.7627425,54.882309,421.75092,1877.3926,18.023903
2010,Asia,1,999,0,2,111.80416,262.53757,26.104252,5.298223,45.325405,40.888855,4.5905786,54.64296,423.15314,1980.3187,23.851387
2010,Asia,1,999,0,3,131.21449,256.61679,28.844492,5.6444974,46.893314,46.706955,9.3844976,58.402035,488.48294,2064.2256,39.905815
2010,Asia,1,999,0,999,113.55975,251.99281,27.089069,5.1340861,43.181973,43.356174,6.0227413,55.784412,442.00754,1986.6588,27.515551
2010,Asia,1,999,1,1,112.47242,238.10083,28.467718,4.5328722,36.516483,35.292652,5.6361065,56.091667,420.24686,1900.4962,22.703283
2010,Asia,1,999,1,2,137.26064,280.8999,28.589787,5.3359146,51.356815,34.847149,5.7590728,55.794647,430.44623,2037.5155,31.915762
2010,Asia,1,999,1,3,161.80849,261.04999,42.878838,5.783556,51.065865,47.927792,13.665765,63.019863,536.56628,2230.9475,69.047516
2010,Asia,1,999,1,999,142.5477,267.51984,33.740135,5.3814707,49.101498,39.642673,8.6009331,58.450878,467.34982,2087.624,44.010784
2010,Asia,1,999,999,1,100.13625,224.37206,27.75222,4.1354284,33.324795,40.655193,5.1644716,55.438587,421.05908,1888.0198,20.176319
2010,Asia,1,999,999,2,124.31252,271.56009,27.32555,5.3167434,48.289013,37.920185,5.1647329,55.208855,426.73666,2008.4229,27.813919
2010,Asia,1,999,999,3,148.42227,259.11029,36.738194,5.722712,49.240189,47.393623,11.792521,60.999363,515.52771,2157.9993,56.296738
2010,Asia,1,999,999,999,128.33267,259.90573,30.478603,5.260159,46.198696,41.463688,7.3366466,57.143307,454.92255,2038.1129,35.921894
2010,Asia,999,0,0,1,91.510506,181.6888,26.414377,3.4742789,32.396271,71.293663,9.3775787,56.278812,497.49619,1685.7386,32.415218
2010,Asia,999,0,0,2,115.29712,229.22383,25.986847,4.9544368,49.570663,66.693443,9.7146025,56.485409,504.26114,1764.9673,44.724476
2010,Asia,999,0,0,3,135.72937,222.59329,27.411184,5.3952889,51.030018,75.868683,19.438219,60.257912,579.20453,1836.2631,73.244194
2010,Asia,999,0,0,999,116.7833,218.36794,26.482025,4.8049679,46.771397,70.229881,12.483842,57.545563,524.82227,1770.8613,50.721359
2010,Asia,999,0,1,1,115.51948,206.33728,27.572552,4.322433,39.404034,56.334038,11.443846,57.723919,498.25446,1685.2968,40.911858
2010,Asia,999,0,1,2,141.9024,248.11176,26.606192,5.065486,57.012402,56.563755,12.142597,57.398029,505.34848,1799.6412,57.230995
2010,Asia,999,0,1,3,167.09029,230.84052,35.515511,5.8619099,57.618225,78.72583,28.029043,63.785381,606.8114,1938.6752,115.81445
2010,Asia,999,0,1,999,146.48222,235.595,29.839123,5.2245741,54.464031,64.193245,17.527994,59.658344,539.3316,1829.8214,74.937981
2010,Asia,999,0,999,1,102.25185,192.71625,26.932531,3.8537333,35.531464,64.600899,10.302003,56.925339,497.83542,1685.541,36.216515
2010,Asia,999,0,999,2,128.09392,238.30869,26.284742,5.0078502,53.150043,61.821194,10.882437,56.92437,504.78412,1781.645,50.739952
2010,Asia,999,0,999,3,152.51917,227.00864,31.750025,5.6451054,54.557167,77.398323,24.037516,62.146427,593.98456,1891.0918,96.035164
2010,Asia,999,0,999,999,131.40999,226.85226,28.135393,5.0116239,50.560013,67.256844,14.968082,58.586109,531.96814,1799.8992,62.648018
