year,superregion2,female,age,urban,edu,v01_wt_median,v02_wt_median,v05_wt_median,v06_wt_median,v10_wt_median,v15_wt_median,v16_wt_median,v23_wt_median,v36_wt_median,v41_wt_median,v57_wt_median
2010,HIC,0,2,1,1,131.64897,59.702663,22.02994,4.1156201,32.38781,159.2468,55.507206,65.665482,1149.3126,2960.1509,414.2326
2010,HIC,0,2,1,2,148.50931,64.952255,22.116735,5.3905358,31.596443,130.81155,69.703941,66.954422,1204.4789,3034.6128,425.17856
2010,HIC,0,2,1,3,122.36916,64.554001,19.670427,4.2685208,28.823677,148.30898,93.472946,68.063667,1239.1158,3074.4705,433.61346
2010,HIC,0,2,1,999,128.27419,64.489494,20.269176,4.5049295,29.529856,144.88689,87.19001,67.751076,1228.8934,3062.3677,431.20105
2010,HIC,0,2,999,1,133.57025,59.415321,21.702248,4.0146322,31.916134,154.42714,53.091946,65.757034,1148.5697,2958.7234,395.10968
2010,HIC,0,2,999,2,150.66924,64.647781,21.597704,5.1996794,31.079058,127.06228,66.634758,67.021645,1202.2003,3030.1121,405.19107
2010,HIC,0,2,999,3,123.78228,64.25824,19.307701,4.1733789,28.435699,145.72639,90.860596,68.287727,1237.6321,3071.9351,416.23593
2010,HIC,0,2,999,999,129.97624,64.19059,19.884535,4.3930001,29.124159,141.91597,84.365623,67.93071,1227.0648,3059.2065,413.15143
2010,HIC,0,7,0,1,75.573219,47.725983,16.098835,4.2791481,42.387955,292.29584,52.09837,68.229652,919.43597,2663.8689,257.47275
2010,HIC,0,7,0,2,85.332291,51.991211,15.493397,5.38764,40.763165,242.30005,65.533211,69.600334,957.82471,2724.9478,262.54535
2010,HIC,0,7,0,3,69.67569,51.531437,14.006207,4.5375447,37.645279,289.31421,94.671379,71.228676,988.47424,2766.1135,273.7692
2010,HIC,0,7,0,999,73.538002,51.509899,14.42506,4.7276273,38.535461,278.41815,86.411514,70.746056,978.96307,2753.0161,270.591
2010,HIC,0,7,1,1,70.739792,48.800346,17.137491,4.8879833,45.067986,339.60507,65.44429,67.983734,923.24695,2686.0786,325.58716
2010,HIC,0,7,1,2,79.813972,53.106426,17.209999,6.4951463,43.914669,279.41147,82.643028,69.178658,967.1618,2733.1355,334.13647
2010,HIC,0,7,1,3,65.682472,52.678787,15.340783,5.1241188,40.072918,317.43527,110.37223,70.449928,994.75513,2787.2161,341.6268
2010,HIC,0,7,1,999,68.860092,52.651691,15.795577,5.4101882,41.047462,309.9791,103.06682,70.102577,986.66614,2772.5552,339.53409
2010,HIC,0,7,999,1,71.81311,48.561771,16.906845,4.7527847,44.472855,329.09952,62.480679,68.038338,922.4007,2681.1465,310.46158
2010,HIC,0,7,999,2,81.025581,52.861568,16.833099,6.2519803,43.222721,271.26324,78.886375,69.27124,965.11169,2731.3379,318.41782
2010,HIC,0,7,999,3,66.479424,52.449802,15.074435,5.0070534,39.588421,311.82303,107.23873,70.605347,993.50159,2783.0046,328.08414
2010,HIC,0,7,999,999,69.817352,52.418037,15.515121,5.2705121,40.533417,303.52063,99.658562,70.234261,985.08984,2768.5569,325.42593
2010,HIC,0,12,0,1,65.313904,53.777206,16.620262,3.6502726,49.214981,340.40863,43.349426,67.632271,835.50659,2640.2031,203.41011
2010,HIC,0,12,0,2,73.663872,58.485329,16.057854,4.6086268,47.511559,282.22452,54.404697,69.029686,870.68231,2708.5803,208.05847
2010,HIC,0,12,0,3,60.209385,57.931843,14.44966,3.9107215,43.464153,335.99271,78.230125,70.941101,898.41986,2741.6206,217.46751
2010,HIC,0,12,0,999,63.504921,57.92086,14.895967,4.0640302,44.597065,323.65601,71.526649,70.386169,889.86676,2730.5435,214.81073
2010,HIC,0,12,1,1,61.060238,54.962738,17.622086,4.143558,52.226475,395.29358,54.473339,67.304405,839.53064,2655.6392,257.54257
2010,HIC,0,12,1,2,68.889412,59.732597,17.772165,5.5389462,50.745815,324.91837,68.454796,68.391312,879.56226,2709.1748,264.41052
2010,HIC,0,12,1,3,56.733227,59.154396,15.801357,4.4015064,46.32338,368.23886,91.096176,70.053955,904.67383,2761.8154,271.63681
2010,HIC,0,12,1,999,59.445438,59.150558,16.274881,4.6352611,47.440861,359.8566,85.181694,69.617821,897.37323,2747.4292,269.67645
2010,HIC,0,12,999,1,62.006756,54.698933,17.39916,4.033793,51.556362,383.08066,51.998058,67.377357,838.63519,2652.2043,245.49709
2010,HIC,0,12,999,2,69.938332,59.458572,17.395538,5.3345594,50.035259,315.53873,65.36805,68.531555,877.61133,2709.0439,252.03026
2010,HIC,0,12,999,3,57.427578,58.910198,15.531361,4.3034739,45.752262,361.79779,88.52623,70.231163,903.42462,2757.7817,260.81668
2010,HIC,0,12,999,999,60.276684,58.898754,15.992524,4.5182915,46.85854,352.44388,82.385574,69.775146,895.83612,2743.9714,258.44171
2010,HIC,0,17,0,1,66.811157,63.633812,18.060963,3.5534403,54.225067,339.95401,36.739498,67.950882,797.37836,2706.8484,171.53787
2010,HIC,0,17,0,2,75.423561,69.186897,17.261429,4.457027,52.427025,282.03647,45.92474,69.313431,830.91479,2773.9634,175.2813
2010,HIC,0,17,0,3,61.610966,68.58905,15.748355,3.7788029,47.858288,335.4343,65.779701,71.339172,857.49652,2805.9395,183.08737
2010,HIC,0,17,0,999,64.967995,68.561066,16.1744,3.9275589,49.124119,323.28012,60.232735,70.759003,849.3598,2795.2559,180.90213
2010,HIC,0,17,1,1,62.386456,64.890961,18.93014,3.9851701,57.628796,392.97818,46.080898,67.618271,802.06866,2721.8518,217.17624
2010,HIC,0,17,1,2,70.468292,70.57869,19.155973,5.3134322,55.824615,323.7742,57.690338,68.925217,839.98431,2778.8181,222.47079
2010,HIC,0,17,1,3,57.984749,69.944351,17.12945,4.219347,50.912167,366.69183,76.567551,70.128113,863.86823,2831.5554,228.30603
2010,HIC,0,17,1,999,60.751423,69.925774,17.611341,4.4431248,52.151237,358.42953,71.665092,69.798615,856.96497,2817.1194,226.73917
2010,HIC,0,17,999,1,63.368397,64.611977,18.737249,3.8893595,56.873428,381.21088,44.007828,67.692085,801.02777,2718.5222,207.04803
